title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
"Catherine, Called Birdy (Summer Reading Edition)",,Karen Cushman,Juvenile Fiction,2004.0,3.71,224.0,33009.0
Wicked Musical Tie-in Edition,The Life and Times of the Wicked Witch of the West,Gregory Maguire,Fiction,2004.0,3.53,409.0,2747.0
Son of a Witch,A Novel,Gregory Maguire,Fiction,2006.0,3.47,352.0,51493.0
This Rough Magic,,Mary Stewart,Fiction,2004.0,4.05,373.0,4966.0
Airs Above the Ground,,Mary Stewart,Fiction,2004.0,4.04,384.0,4458.0
The Mediator #5: Haunted,,Meg Cabot,Juvenile Fiction,2004.0,4.15,263.0,31501.0
Beauty,A Retelling of the Story of Beauty and the Beast,Robin McKinley,Juvenile Fiction,2005.0,4.05,325.0,3203.0
Mating in Captivity,Reconciling the Erotic and the Domestic,Esther Perel,Psychology,2006.0,4.13,272.0,7699.0
Forgotten New York,Views of a Lost Metropolis,Kevin Walsh,Travel,2006.0,4.18,384.0,198.0
The Dead Beat,"Lost Souls, Lucky Stiffs, and the Perverse Pleasures of Obituaries",Marilyn Johnson,Social Science,2007.0,3.41,272.0,1106.0
Charms for the Easy Life,,Kaye Gibbons,Fiction,2005.0,4.02,272.0,10983.0
The Reading Group,A Novel,Elizabeth Noble,Fiction,2005.0,3.34,429.0,6408.0
A Couple of April Fools,,Gregory Maguire,Juvenile Fiction,2005.0,3.5,240.0,3.0
What Christians Believe,,C. S. Lewis,Religion,2005.0,4.2,98.0,517.0
Psyche in a Dress,,Francesca Lia Block,Juvenile Fiction,2006.0,3.84,116.0,2414.0
YOU: The Owner's Manual,An Insider's Guide to the Body that Will Make You Healthier and Younger,Michael F Roizen;Mehmet C Oz,Health & Fitness,2005.0,3.82,417.0,3099.0
The Chronicles of Narnia Movie Tie-in Edition (adult),,C. S. Lewis,Fiction,2005.0,4.26,766.0,1099.0
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",,C. S. Lewis,Juvenile Fiction,2005.0,4.21,189.0,615.0
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",,R.L. Stine,Juvenile Fiction,2005.0,3.89,432.0,92.0
A Quick Bite,,Lynsay Sands,Fiction,2005.0,3.91,360.0,34478.0
Goodnight Moon 60th Anniversary Edition,,Margaret Wise Brown,Juvenile Fiction,2005.0,4.27,32.0,264013.0
Brave New World and Brave New World Revisited,,Aldous Huxley,Fiction,2005.0,4.16,340.0,123044.0
The Final Solution,A Story of Detection,Michael Chabon,Fiction,2005.0,3.31,131.0,13455.0
The Cat's Pajamas,Stories,Ray Bradbury,Fiction,2005.0,3.73,234.0,1316.0
Holy Skirts,A Novel of a Flamboyant Woman Who Risked All for Art,Rene Steinke,Fiction,2005.0,3.61,384.0,322.0
Time For Kids: Butterflies!,,Editors of TIME For Kids,Juvenile Nonfiction,2006.0,4.0,32.0,20.0
A False Mirror,An Inspector Ian Rutledge Mystery,Charles Todd,Fiction,2007.0,4.02,384.0,2354.0
